NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio.Tags.Application.CTT4[10].Status_ch2,Status_ch2,Status_ch2,Studio/Tags/Application/CTT4/[10]/Status_ch2,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.159993
ns=2;s=Studio.Tags.Application.CTT4[10].Status_ch3,Status_ch3,Status_ch3,Studio/Tags/Application/CTT4/[10]/Status_ch3,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.161976
ns=2;s=Studio.Tags.Application.CTT4[10].Status_ch4,Status_ch4,Status_ch4,Studio/Tags/Application/CTT4/[10]/Status_ch4,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.165001
ns=2;s=Studio.Tags.Application.CTT4[10].Status_ch5,Status_ch5,Status_ch5,Studio/Tags/Application/CTT4/[10]/Status_ch5,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.166998
ns=2;s=Studio.Tags.Application.CTT4[10].Status_ch6,Status_ch6,Status_ch6,Studio/Tags/Application/CTT4/[10]/Status_ch6,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.170007
ns=2;s=Studio.Tags.Application.CTT4[10].Status_ch7,Status_ch7,Status_ch7,Studio/Tags/Application/CTT4/[10]/Status_ch7,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.171978
ns=2;s=Studio.Tags.Application.CTT4[10].Status_ch8,Status_ch8,Status_ch8,Studio/Tags/Application/CTT4/[10]/Status_ch8,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.174993
ns=2;s=Studio.Tags.Application.CTT4[10].Temp_ch1,Temp_ch1,Temp_ch1,Studio/Tags/Application/CTT4/[10]/Temp_ch1,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.179006
ns=2;s=Studio.Tags.Application.CTT4[10].Temp_ch2,Temp_ch2,Temp_ch2,Studio/Tags/Application/CTT4/[10]/Temp_ch2,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.181979
ns=2;s=Studio.Tags.Application.CTT4[10].Temp_ch3,Temp_ch3,Temp_ch3,Studio/Tags/Application/CTT4/[10]/Temp_ch3,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.184995
ns=2;s=Studio.Tags.Application.CTT4[10].Temp_ch4,Temp_ch4,Temp_ch4,Studio/Tags/Application/CTT4/[10]/Temp_ch4,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.187979
ns=2;s=Studio.Tags.Application.CTT4[10].Temp_ch5,Temp_ch5,Temp_ch5,Studio/Tags/Application/CTT4/[10]/Temp_ch5,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.190010
ns=2;s=Studio.Tags.Application.CTT4[10].Temp_ch6,Temp_ch6,Temp_ch6,Studio/Tags/Application/CTT4/[10]/Temp_ch6,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.192008
ns=2;s=Studio.Tags.Application.CTT4[10].Temp_ch7,Temp_ch7,Temp_ch7,Studio/Tags/Application/CTT4/[10]/Temp_ch7,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.195003
ns=2;s=Studio.Tags.Application.CTT4[10].Temp_ch8,Temp_ch8,Temp_ch8,Studio/Tags/Application/CTT4/[10]/Temp_ch8,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.197001
ns=2;s=Studio.Tags.Application.CTT4[11],[11],[11],Studio/Tags/Application/CTT4/[11],Object,,,ns=2;s=Studio.Tags.Application.CTT4,6,2,False,2025-11-04T15:33:47.198000
ns=2;s=Studio.Tags.Application.CTT4[11].Color,Color,Color,Studio/Tags/Application/CTT4/[11]/Color,Variable,Int32,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.202000
ns=2;s=Studio.Tags.Application.CTT4[11].Name,Name,Name,Studio/Tags/Application/CTT4/[11]/Name,Variable,String,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.204985
ns=2;s=Studio.Tags.Application.CTT4[11].Relay_Status,Relay_Status,Relay_Status,Studio/Tags/Application/CTT4/[11]/Relay_Status,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[11],7,2,False,2025-11-04T15:33:47.207010
