NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Local_Mode,Local_Mode,Local_Mode,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Local_Mode,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.576982
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Name,Name,Name,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Name,Variable,String,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.581972
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].P,P,P,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/P,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.585973
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].P_L1,P_L1,P_L1,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/P_L1,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.589973
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].P_L2,P_L2,P_L2,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/P_L2,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.592972
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].P_L3,P_L3,P_L3,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/P_L3,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.596975
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Q,Q,Q,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Q,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.600494
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Q_L1,Q_L1,Q_L1,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Q_L1,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.604498
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Q_L2,Q_L2,Q_L2,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Q_L2,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.609492
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Q_L3,Q_L3,Q_L3,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Q_L3,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.614496
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Remote_Mode,Remote_Mode,Remote_Mode,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Remote_Mode,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.620497
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].S,S,S,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/S,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.624494
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].S_L1,S_L1,S_L1,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/S_L1,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.630499
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].S_L2,S_L2,S_L2,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/S_L2,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.634526
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].S_L3,S_L3,S_L3,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/S_L3,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.638493
